2018-12-05 00:07:29.699445,18.07 C,1022.41 hPA,50.62 %RH
2018-12-05 00:07:30.743338,18.04 C,1022.43 hPA,50.68 %RH
2018-12-05 00:07:31.783608,18.02 C,1022.43 hPA,50.74 %RH
2018-12-05 00:07:32.824019,18.01 C,1022.43 hPA,50.84 %RH
2018-12-05 00:07:33.866562,17.99 C,1022.42 hPA,50.94 %RH
2018-12-05 00:07:34.910021,17.97 C,1022.43 hPA,51.05 %RH
2018-12-05 00:07:35.950012,17.94 C,1022.42 hPA,51.13 %RH
2018-12-05 00:07:36.989566,17.92 C,1022.40 hPA,51.21 %RH
2018-12-05 00:07:38.029746,17.89 C,1022.42 hPA,51.28 %RH
2018-12-05 00:07:39.073799,17.84 C,1022.41 hPA,51.30 %RH
2018-12-05 00:07:40.113870,17.80 C,1022.40 hPA,51.34 %RH
2018-12-05 00:07:41.157175,17.77 C,1022.43 hPA,51.34 %RH
2018-12-05 00:07:42.197601,17.74 C,1022.43 hPA,51.39 %RH
2018-12-05 00:07:43.238141,17.72 C,1022.44 hPA,51.45 %RH
2018-12-05 00:07:44.280958,17.69 C,1022.43 hPA,51.50 %RH
2018-12-05 00:07:45.321733,17.66 C,1022.43 hPA,51.56 %RH
2018-12-05 00:07:46.365244,17.63 C,1022.42 hPA,51.60 %RH
2018-12-05 00:07:47.405810,17.59 C,1022.42 hPA,51.63 %RH
2018-12-05 00:07:48.446073,17.56 C,1022.43 hPA,51.67 %RH
2018-12-05 00:07:49.489604,17.53 C,1022.43 hPA,51.71 %RH
2018-12-05 00:07:50.533756,17.50 C,1022.41 hPA,51.76 %RH
2018-12-05 00:07:51.574002,17.48 C,1022.42 hPA,51.83 %RH
2018-12-05 00:07:52.614270,17.46 C,1022.43 hPA,51.89 %RH
2018-12-05 00:07:53.654429,17.43 C,1022.43 hPA,52.00 %RH
2018-12-05 00:07:54.696182,17.41 C,1022.43 hPA,52.06 %RH
2018-12-05 00:07:55.736738,17.38 C,1022.40 hPA,52.10 %RH
2018-12-05 00:07:56.780892,17.35 C,1022.43 hPA,52.12 %RH
2018-12-05 00:07:57.821176,17.32 C,1022.42 hPA,52.14 %RH
2018-12-05 00:07:58.861733,17.29 C,1022.43 hPA,52.20 %RH
2018-12-05 00:07:59.902808,17.26 C,1022.42 hPA,52.25 %RH
2018-12-05 00:08:00.943336,17.24 C,1022.44 hPA,52.29 %RH
2018-12-05 00:08:01.983429,17.22 C,1022.42 hPA,52.35 %RH
2018-12-05 00:08:03.024395,17.19 C,1022.43 hPA,52.41 %RH
2018-12-05 00:08:04.064499,17.18 C,1022.44 hPA,52.49 %RH
2018-12-05 00:08:05.107242,17.15 C,1022.45 hPA,52.55 %RH
2018-12-05 00:08:06.147561,17.13 C,1022.47 hPA,52.62 %RH
2018-12-05 00:08:07.187516,17.10 C,1022.46 hPA,52.70 %RH
2018-12-05 00:08:08.227823,17.08 C,1022.45 hPA,52.77 %RH
2018-12-05 00:08:09.268309,17.06 C,1022.45 hPA,52.82 %RH
2018-12-05 00:08:10.312388,17.04 C,1022.44 hPA,52.88 %RH
2018-12-05 00:08:11.353801,17.03 C,1022.46 hPA,52.94 %RH
2018-12-05 00:08:12.394060,17.01 C,1022.44 hPA,53.00 %RH
2018-12-05 00:08:13.434900,16.98 C,1022.43 hPA,53.03 %RH
2018-12-05 00:08:14.481620,16.96 C,1022.44 hPA,53.09 %RH
2018-12-05 00:08:15.525625,16.94 C,1022.45 hPA,53.14 %RH
2018-12-05 00:08:16.565656,16.92 C,1022.45 hPA,53.20 %RH
2018-12-05 00:08:17.609013,16.90 C,1022.44 hPA,53.24 %RH
2018-12-05 00:08:18.649229,16.89 C,1022.44 hPA,53.29 %RH
2018-12-05 00:08:19.689555,16.87 C,1022.44 hPA,53.33 %RH
2018-12-05 00:08:20.733507,16.86 C,1022.47 hPA,53.36 %RH
2018-12-05 00:08:21.773646,16.85 C,1022.42 hPA,53.40 %RH
2018-12-05 00:08:22.816888,16.84 C,1022.43 hPA,53.45 %RH
2018-12-05 00:08:23.857131,16.83 C,1022.41 hPA,53.51 %RH
2018-12-05 00:08:24.897339,16.82 C,1022.42 hPA,53.57 %RH
2018-12-05 00:08:25.941300,16.81 C,1022.42 hPA,53.64 %RH
2018-12-05 00:08:26.985932,16.81 C,1022.44 hPA,53.70 %RH
2018-12-05 00:08:28.025530,16.80 C,1022.42 hPA,53.79 %RH
2018-12-05 00:08:29.065396,16.79 C,1022.42 hPA,53.85 %RH
2018-12-05 00:08:30.105844,16.79 C,1022.43 hPA,53.91 %RH
2018-12-05 00:08:31.149181,16.78 C,1022.44 hPA,53.96 %RH
2018-12-05 00:08:32.189019,16.78 C,1022.43 hPA,54.03 %RH
2018-12-05 00:08:33.233979,16.78 C,1022.43 hPA,54.11 %RH
2018-12-05 00:08:34.274186,16.78 C,1022.42 hPA,54.19 %RH
2018-12-05 00:08:35.314383,16.79 C,1022.43 hPA,54.28 %RH
2018-12-05 00:08:36.359413,16.80 C,1022.42 hPA,54.39 %RH
2018-12-05 00:08:37.399585,16.81 C,1022.42 hPA,54.47 %RH
2018-12-05 00:08:38.443262,16.83 C,1022.41 hPA,54.55 %RH
2018-12-05 00:08:39.483647,16.84 C,1022.41 hPA,54.65 %RH
2018-12-05 00:08:40.523815,16.86 C,1022.44 hPA,54.70 %RH
2018-12-05 00:08:41.563534,16.88 C,1022.45 hPA,54.77 %RH
2018-12-05 00:08:42.603258,16.90 C,1022.44 hPA,54.84 %RH
2018-12-05 00:08:43.647924,16.92 C,1022.43 hPA,54.89 %RH
2018-12-05 00:08:44.688304,16.95 C,1022.42 hPA,54.96 %RH
2018-12-05 00:08:45.728603,16.97 C,1022.40 hPA,55.01 %RH
2018-12-05 00:08:46.773236,16.99 C,1022.44 hPA,55.05 %RH
2018-12-05 00:08:47.813660,17.02 C,1022.43 hPA,55.11 %RH
2018-12-05 00:08:48.857143,17.04 C,1022.42 hPA,55.17 %RH
2018-12-05 00:08:49.897469,17.07 C,1022.43 hPA,55.22 %RH
2018-12-05 00:08:50.937767,17.09 C,1022.41 hPA,55.26 %RH
2018-12-05 00:08:51.980460,17.11 C,1022.40 hPA,55.28 %RH
2018-12-05 00:08:53.020638,17.14 C,1022.42 hPA,55.31 %RH
2018-12-05 00:08:54.064258,17.16 C,1022.40 hPA,55.34 %RH
2018-12-05 00:08:55.104476,17.18 C,1022.41 hPA,55.40 %RH
2018-12-05 00:08:56.144952,17.21 C,1022.40 hPA,55.45 %RH
2018-12-05 00:08:57.188670,17.24 C,1022.38 hPA,55.48 %RH
2018-12-05 00:08:58.228876,17.26 C,1022.39 hPA,55.52 %RH
2018-12-05 00:08:59.269294,17.29 C,1022.41 hPA,55.52 %RH
2018-12-05 00:09:00.309495,17.31 C,1022.40 hPA,55.51 %RH
2018-12-05 00:09:01.349719,17.34 C,1022.42 hPA,55.51 %RH
2018-12-05 00:09:02.392493,17.36 C,1022.39 hPA,55.50 %RH
2018-12-05 00:09:03.436932,17.39 C,1022.40 hPA,55.45 %RH
2018-12-05 00:09:04.477343,17.42 C,1022.41 hPA,55.43 %RH
2018-12-05 00:09:05.517618,17.45 C,1022.42 hPA,55.37 %RH
2018-12-05 00:09:06.558144,17.47 C,1022.41 hPA,55.33 %RH
2018-12-05 00:09:07.598396,17.49 C,1022.40 hPA,55.28 %RH
2018-12-05 00:09:08.639079,17.52 C,1022.39 hPA,55.23 %RH
2018-12-05 00:09:09.679677,17.54 C,1022.43 hPA,55.19 %RH
2018-12-05 00:09:10.719516,17.57 C,1022.41 hPA,55.15 %RH
2018-12-05 00:09:11.759447,17.59 C,1022.40 hPA,55.12 %RH
2018-12-05 00:09:12.802837,17.61 C,1022.39 hPA,55.08 %RH
2018-12-05 00:09:13.843090,17.64 C,1022.41 hPA,55.06 %RH
2018-12-05 00:09:14.883367,17.66 C,1022.39 hPA,55.03 %RH
2018-12-05 00:09:15.923580,17.68 C,1022.40 hPA,55.01 %RH
2018-12-05 00:09:16.963935,17.70 C,1022.39 hPA,54.98 %RH
2018-12-05 00:09:18.006909,17.73 C,1022.37 hPA,54.95 %RH
2018-12-05 00:09:19.047339,17.75 C,1022.38 hPA,54.94 %RH
2018-12-05 00:09:20.087549,17.78 C,1022.36 hPA,54.89 %RH
2018-12-05 00:09:21.127768,17.80 C,1022.35 hPA,54.90 %RH
2018-12-05 00:09:22.169127,17.83 C,1022.39 hPA,54.87 %RH
2018-12-05 00:09:23.213348,17.85 C,1022.38 hPA,54.83 %RH
2018-12-05 00:09:24.253394,17.87 C,1022.37 hPA,54.83 %RH
2018-12-05 00:09:25.293354,17.90 C,1022.36 hPA,54.82 %RH
2018-12-05 00:09:26.334568,17.92 C,1022.36 hPA,54.77 %RH
2018-12-05 00:09:27.375056,17.94 C,1022.37 hPA,54.74 %RH
2018-12-05 00:09:28.417795,17.97 C,1022.39 hPA,54.72 %RH
2018-12-05 00:09:29.458283,17.99 C,1022.38 hPA,54.69 %RH
2018-12-05 00:09:30.498196,18.01 C,1022.37 hPA,54.66 %RH
2018-12-05 00:09:31.538555,18.04 C,1022.39 hPA,54.64 %RH
2018-12-05 00:09:32.579120,18.06 C,1022.38 hPA,54.60 %RH
2018-12-05 00:09:33.619630,18.08 C,1022.36 hPA,54.55 %RH
2018-12-05 00:09:34.659961,18.10 C,1022.37 hPA,54.52 %RH
2018-12-05 00:09:35.699998,18.13 C,1022.37 hPA,54.53 %RH
2018-12-05 00:09:36.740170,18.15 C,1022.39 hPA,54.52 %RH
2018-12-05 00:09:37.780201,18.18 C,1022.37 hPA,54.55 %RH
2018-12-05 00:09:38.823207,18.20 C,1022.35 hPA,54.60 %RH
2018-12-05 00:09:39.866983,18.22 C,1022.40 hPA,54.63 %RH
2018-12-05 00:09:40.907109,18.25 C,1022.39 hPA,54.67 %RH
2018-12-05 00:09:41.948304,18.27 C,1022.38 hPA,54.72 %RH
2018-12-05 00:09:42.988520,18.30 C,1022.37 hPA,54.76 %RH
2018-12-05 00:09:44.062150,18.32 C,1022.38 hPA,54.81 %RH
2018-12-05 00:09:45.106204,18.34 C,1022.37 hPA,54.85 %RH
2018-12-05 00:09:46.147815,18.37 C,1022.39 hPA,54.89 %RH
2018-12-05 00:09:47.188413,18.39 C,1022.38 hPA,54.92 %RH
2018-12-05 00:09:48.228598,18.41 C,1022.36 hPA,54.92 %RH
2018-12-05 00:09:49.272043,18.43 C,1022.36 hPA,54.93 %RH
2018-12-05 00:09:50.312851,18.45 C,1022.35 hPA,54.91 %RH
2018-12-05 00:09:51.356132,18.47 C,1022.37 hPA,54.88 %RH
2018-12-05 00:09:52.396549,18.49 C,1022.39 hPA,54.80 %RH
2018-12-05 00:09:53.437092,18.52 C,1022.38 hPA,54.78 %RH
2018-12-05 00:09:54.481074,18.54 C,1022.38 hPA,54.76 %RH
2018-12-05 00:09:55.524904,18.56 C,1022.37 hPA,54.75 %RH
2018-12-05 00:09:56.564857,18.58 C,1022.37 hPA,54.73 %RH
2018-12-05 00:09:57.605080,18.61 C,1022.39 hPA,54.73 %RH
2018-12-05 00:09:58.645264,18.63 C,1022.38 hPA,54.72 %RH
2018-12-05 00:09:59.689015,18.65 C,1022.41 hPA,54.68 %RH
2018-12-05 00:10:00.733687,18.67 C,1022.40 hPA,54.64 %RH
2018-12-05 00:10:01.773733,18.69 C,1022.39 hPA,54.60 %RH
2018-12-05 00:10:02.813936,18.71 C,1022.38 hPA,54.56 %RH
2018-12-05 00:10:03.854309,18.73 C,1022.37 hPA,54.52 %RH
2018-12-05 00:10:04.898105,18.75 C,1022.37 hPA,54.51 %RH
2018-12-05 00:10:05.938433,18.78 C,1022.36 hPA,54.49 %RH
2018-12-05 00:10:06.982202,18.80 C,1022.39 hPA,54.50 %RH
2018-12-05 00:10:08.022478,18.82 C,1022.38 hPA,54.50 %RH
2018-12-05 00:10:09.062802,18.84 C,1022.38 hPA,54.53 %RH
2018-12-05 00:10:10.105418,18.87 C,1022.37 hPA,54.63 %RH
2018-12-05 00:10:11.145536,18.89 C,1022.39 hPA,54.71 %RH
2018-12-05 00:10:12.185629,18.91 C,1022.40 hPA,54.84 %RH
